Category X,Date,Values
company3,2/29/2024,3296
company5,3/1/2024,3251
company5,3/2/2024,1411
company3,3/3/2024,2154
company4,1/2/2024,1953
company6,1/3/2024,3020
company4,1/4/2024,253
company1,1/5/2024,793
company5,1/6/2024,487
company5,1/7/2024,21
company4,1/8/2024,3066
company4,1/9/2024,1384
company2,1/10/2024,2862
company2,1/11/2024,291
company5,1/12/2024,903
company4,1/13/2024,3131
company5,1/14/2024,435
company5,1/15/2024,404
company2,1/16/2024,774
company3,1/17/2024,1031
company4,1/18/2024,1964
company3,1/19/2024,37
company2,1/20/2024,416
company3,1/21/2024,1645
company3,1/22/2024,2860
company3,1/23/2024,1781
company1,1/24/2024,1859
company6,1/25/2024,436
company2,1/26/2024,3276
company5,1/27/2024,354
company1,1/28/2024,1884
company3,1/29/2024,1722
company3,1/30/2024,787
company4,1/31/2024,2993
company3,2/1/2024,3402
company5,2/2/2024,1773
company3,2/3/2024,668
company4,2/4/2024,1309
company1,2/5/2024,3237
company2,2/6/2024,2060
company5,2/7/2024,1055
company5,2/8/2024,2054
company3,2/9/2024,38
company1,2/10/2024,1026
company4,2/11/2024,3060
company4,2/12/2024,1585
company5,2/13/2024,746
company1,2/14/2024,2428
company2,2/15/2024,2730
company5,2/16/2024,952
company6,2/17/2024,3047
company4,2/18/2024,1583
company3,2/19/2024,264
company6,2/20/2024,1599
company4,2/21/2024,1562
company6,2/22/2024,1600
company1,2/23/2024,2146
company1,2/24/2024,2051
company2,2/25/2024,2591
company1,2/26/2024,1963
company3,2/27/2024,1620
company4,2/28/2024,3163
company4,2/29/2024,3114
company4,3/1/2024,446
company2,3/2/2024,2173
company5,3/3/2024,1920
company2,1/2/2024,3322
company5,1/3/2024,2035
company1,1/4/2024,1150
company3,1/5/2024,3402
company1,1/6/2024,203
company5,1/7/2024,2137
company6,1/8/2024,772
company4,1/9/2024,2869
company2,1/10/2024,2215
company5,1/11/2024,1392
company3,1/12/2024,3075
company1,1/13/2024,1947
company3,1/14/2024,3156
company6,1/15/2024,2318
company6,1/16/2024,2864
company6,1/17/2024,2028
company5,1/18/2024,3066
company6,1/19/2024,1869
company5,1/20/2024,594
company2,1/21/2024,394
company2,1/22/2024,144
company6,1/23/2024,369
company6,1/24/2024,1607
company1,1/25/2024,409
company4,1/26/2024,2936
company1,1/27/2024,3198
company5,1/28/2024,2605
company1,1/29/2024,1121
company4,1/30/2024,2003
company6,1/31/2024,2466
company1,2/1/2024,2068
company6,2/2/2024,275
company6,2/3/2024,2424
company3,2/4/2024,2097
company4,2/5/2024,2958
company4,2/6/2024,3188
company1,2/7/2024,2195
company4,2/8/2024,1592
company5,2/9/2024,1027
company5,2/10/2024,914
company5,2/11/2024,562
company1,2/12/2024,2503
company5,2/13/2024,2251
company6,2/14/2024,704
company6,2/15/2024,2165
company2,2/16/2024,2265
company2,2/17/2024,1002
company3,2/18/2024,316
company6,2/19/2024,696
company2,2/20/2024,1276
company2,2/21/2024,2318
company3,2/22/2024,130
company5,2/23/2024,1130
company3,2/24/2024,1923
company2,2/25/2024,1195
company5,2/26/2024,912
company1,2/27/2024,50
company4,2/28/2024,3061
company4,2/29/2024,3356
company1,3/1/2024,2285
company5,3/2/2024,109
company3,3/3/2024,1825
company6,1/2/2024,863
company4,1/3/2024,1348
company1,1/4/2024,1274
company3,1/5/2024,3086
company5,1/6/2024,491
company1,1/7/2024,1290
company1,1/8/2024,2663
company3,1/9/2024,1991
company1,1/10/2024,383
company6,1/11/2024,1392
company2,1/12/2024,3334
company6,1/13/2024,117
company3,1/14/2024,1212
company5,1/15/2024,2430
company1,1/16/2024,2530
company5,1/17/2024,249
company3,1/18/2024,3183
company2,1/19/2024,240
company6,1/20/2024,1529
company2,1/21/2024,454
company5,1/22/2024,858
company5,1/23/2024,451
company3,1/24/2024,269
company3,1/25/2024,2701
company3,1/26/2024,2078
company1,1/27/2024,13
company1,1/28/2024,3398
company5,1/29/2024,1986
company4,1/30/2024,623
company4,1/31/2024,325
company3,2/1/2024,3302
company3,2/2/2024,2665
company1,2/3/2024,2582
company6,2/4/2024,3200
company3,2/5/2024,14
company4,2/6/2024,2636
company2,2/7/2024,121
company5,2/8/2024,3270
company3,2/9/2024,2088
company5,2/10/2024,1820
company6,2/11/2024,322
company2,2/12/2024,523
company6,2/13/2024,3331
company3,2/14/2024,57
company5,2/15/2024,3022
company2,2/16/2024,889
company4,2/17/2024,1157
company3,2/18/2024,1670
company4,2/19/2024,878
company4,2/20/2024,1002
company5,2/21/2024,2234
company4,2/22/2024,1380
company6,2/23/2024,145
company2,2/24/2024,681
company4,2/25/2024,635
company3,2/26/2024,3282
company3,2/27/2024,882
company6,2/28/2024,198
company6,2/29/2024,732
company1,3/1/2024,1357
company2,3/2/2024,882
company4,3/3/2024,1476
company1,1/2/2024,1897
company2,1/3/2024,3015
company4,1/4/2024,3380
company6,1/5/2024,1438
company3,1/6/2024,2868
company3,1/7/2024,486
company6,1/8/2024,700
company5,1/9/2024,1659
company4,1/10/2024,2817
company2,1/11/2024,69
company2,1/12/2024,1609
company5,1/13/2024,1315
company4,1/14/2024,512
company5,1/15/2024,2741
company3,1/16/2024,1575
company2,1/17/2024,1299
company5,1/18/2024,14
company2,1/19/2024,1860
company1,1/20/2024,2481
company1,1/21/2024,1487
company6,1/22/2024,608
company6,1/23/2024,1471
company2,1/24/2024,2066
company4,1/25/2024,1011
company1,1/26/2024,2764
company4,1/27/2024,471
company2,1/28/2024,1817
company2,1/29/2024,639
company1,1/30/2024,3269
company4,1/31/2024,382
company2,2/1/2024,635
company4,2/2/2024,1243
company6,2/3/2024,2743
company5,2/4/2024,3268
company6,2/5/2024,1325
company3,2/6/2024,3076
company3,2/7/2024,3077
company6,2/8/2024,1541
company6,2/9/2024,2171
company2,2/10/2024,3115
company3,2/11/2024,1329
company3,2/12/2024,662
company1,2/13/2024,1515
company2,2/14/2024,2939
company3,2/15/2024,1610
company4,2/16/2024,2194
company1,2/17/2024,1489
company2,2/18/2024,2572
company5,2/19/2024,2880
company5,2/20/2024,89
company2,2/21/2024,945
company3,2/22/2024,2629
company5,2/23/2024,3066
company3,2/24/2024,2169
company5,2/25/2024,177
company6,2/26/2024,1130
company4,2/27/2024,2470
company5,2/28/2024,671
company4,2/29/2024,2401
company2,3/1/2024,2315
company5,3/2/2024,3155
company2,3/3/2024,634
company4,1/2/2024,1623
company2,1/3/2024,2828
company1,1/4/2024,839
company4,1/5/2024,1885
company4,1/6/2024,218
company4,1/7/2024,363
company4,1/8/2024,2736
company5,1/9/2024,2732
company2,1/10/2024,1412
company5,1/11/2024,1934
company4,1/12/2024,1803
company4,1/13/2024,715
company5,1/14/2024,2116
company5,1/15/2024,1165
company3,1/16/2024,164
company5,1/17/2024,2927
company6,1/18/2024,1382
company2,1/19/2024,845
company5,1/20/2024,2722
company6,1/21/2024,812
company2,1/22/2024,167
company5,1/23/2024,399
company3,1/24/2024,2338
company1,1/25/2024,1345
company6,1/26/2024,1511
company3,1/27/2024,3120
company2,1/28/2024,3125
company4,1/29/2024,57
company4,1/30/2024,480
company2,1/31/2024,372
company2,2/1/2024,3316
company3,2/2/2024,1227
company1,2/3/2024,3039
company3,2/4/2024,2358
company3,2/5/2024,2909
company4,2/6/2024,2173
company4,2/7/2024,645
company6,2/8/2024,3372
company2,2/9/2024,2834
company2,2/10/2024,1185
company5,2/11/2024,2546
company5,2/12/2024,2105
company2,2/13/2024,3275
company6,2/14/2024,78
company4,2/15/2024,2398
company1,2/16/2024,3289
company2,2/17/2024,1682
company6,2/18/2024,213
company6,2/19/2024,1848
company6,2/20/2024,670
company6,2/21/2024,575
company5,2/22/2024,2136
company1,2/23/2024,1357
company6,2/24/2024,82
company3,2/25/2024,285
company2,2/26/2024,182
company6,2/27/2024,1557
company5,2/28/2024,1570
company6,2/29/2024,1546
company4,3/1/2024,3050
company1,3/2/2024,2089
company3,3/3/2024,1165
company6,1/2/2024,465
company4,1/3/2024,1647
company1,1/4/2024,1422
